taxonomy_id	common_name	scientific_name	release_folder_name
39496	Eubacterium ventriosum	Eubacterium ventriosum	eubacterium_ventriosum
39638	red-winged blackbird	Agelaius phoeniceus	agelaius_phoeniceus
40214	Acinetobacter johnsonii	Acinetobacter johnsonii	acinetobacter_johnsonii
40518	Ruminococcus bromii	Ruminococcus bromii	ruminococcus_bromii
40520	Blautia obeum	Blautia obeum	blautia_obeum
41447	greater amberjack	Seriola dumerili	seriola_dumerili
42345	date palm	Phoenix dactylifera	phoenix_dactylifera
45851	Butyrivibrio crossotus	Butyrivibrio crossotus	butyrivibrio_crossotus
46228	Ruminococcus lactaris	Ruminococcus lactaris	ruminococcus_lactaris
46259	white bass	Morone chrysops	morone_chrysops
46503	Parabacteroides merdae	Parabacteroides merdae	parabacteroides_merdae
46689	Ficedula hypoleuca	Ficedula hypoleuca	ficedula_hypoleuca
48296	Acinetobacter pittii	Acinetobacter pittii	acinetobacter_pittii
48849	House sparrow	Passer domesticus	passer_domesticus
51953	African oil palm	Elaeis guineensis	elaeis_guineensis
52132	Brucella sp.	Brucella sp.	brucella_sp
52226	Mitsuokella multacida	Mitsuokella multacida	mitsuokella_multacida
52644	bald eagle	Haliaeetus leucocephalus	haliaeetus_leucocephalus
53443	Blautia hydrogenotrophica	Blautia hydrogenotrophica	blautia_hydrogenotrophica
59729	zebra finch	Taeniopygia guttata	taeniopygia_guttata
59894	collared flycatcher	Ficedula albicollis	ficedula_albicollis
60711	green monkey	Chlorocebus sabaeus	chlorocebus_sabaeus
61171	Holdemania filiformis	Holdemania filiformis	holdemania_filiformis
61853	northern white-cheeked gibbon	Nomascus leucogenys	nomascus_leucogenys
71647	Pinus pinaster	Pinus pinaster	pinus_pinaster
72036	salmon louse	Lepeophtheirus salmonis	lepeophtheirus_salmonis
74426	Collinsella aerofaciens	Collinsella aerofaciens	collinsella_aerofaciens
74940	Chinook salmon	Oncorhynchus tshawytscha	oncorhynchus_tshawytscha
79200	Daucus carota subsp. sativus	Daucus carota subsp. sativus	daucus_carota_subsp_sativus
79684	prairie vole	Microtus ochrogaster	microtus_ochrogaster
84112	Eggerthella lenta	Eggerthella lenta	eggerthella_lenta
84645	rohu	Labeo rohita	labeo_rohita
85692	Triticum dicoccoides	Triticum dicoccoides	triticum_dicoccoides
93934	Japanese quail	Coturnix japonica	coturnix_japonica
99883	spotted green pufferfish	Tetraodon nigroviridis	tetraodon_nigroviridis
100886	Catenibacterium mitsuokai	Catenibacterium mitsuokai	catenibacterium_mitsuokai
105023	turquoise killifish	Nothobranchius furzeri	nothobranchius_furzeri
106654	Acinetobacter nosocomialis	Acinetobacter nosocomialis	acinetobacter_nosocomialis
116085	Coprococcus catus	Coprococcus catus	coprococcus_catus
128810	Saccharum hybrid cultivar	Saccharum hybrid cultivar	saccharum_hybrid_cultivar
147206	Collinsella stercoris	Collinsella stercoris	collinsella_stercoris
147207	Collinsella intestinalis	Collinsella intestinalis	collinsella_intestinalis
154046	Hungatella hathewayi	Hungatella hathewayi	hungatella_hathewayi
154288	Turicibacter sanguinis	Turicibacter sanguinis	turicibacter_sanguinis
158847	Megamonas hypermegale	Megamonas hypermegale	megamonas_hypermegale
165179	Prevotella copri	Prevotella copri	prevotella_copri
